<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,60,20/02/20,17:00:00,235.4500000,235.6700000,234.5300000,235.1600000
GAZP,60,20/02/20,18:00:00,235.1800000,235.4900000,234.4000000,235.1300000
GAZP,60,20/02/20,19:00:00,235.1300000,235.1900000,234.6000000,234.6000000
GAZP,60,21/02/20,11:00:00,233.2000000,233.7700000,232.4200000,232.6100000
GAZP,60,21/02/20,12:00:00,232.6700000,233.6100000,231.6100000,233.3500000
GAZP,60,21/02/20,13:00:00,233.3900000,233.5500000,232.0800000,232.3400000
GAZP,60,21/02/20,14:00:00,232.3200000,233.1900000,232.2500000,232.4200000
GAZP,60,21/02/20,15:00:00,232.4500000,232.6000000,232.0100000,232.2500000
GAZP,60,21/02/20,16:00:00,232.2100000,233.4500000,232.0500000,233.0200000
GAZP,60,21/02/20,17:00:00,233.0500000,233.2400000,232.5100000,232.9200000
GAZP,60,21/02/20,18:00:00,232.9200000,233.1000000,232.2100000,232.7900000
GAZP,60,21/02/20,19:00:00,232.7800000,232.9700000,232.0000000,232.0000000
GAZP,60,25/02/20,11:00:00,227.9900000,229.5700000,227.2000000,227.7700000
GAZP,60,25/02/20,12:00:00,227.7800000,230.0600000,227.1500000,228.4900000
GAZP,60,25/02/20,13:00:00,228.4900000,228.8400000,227.8800000,227.9100000
GAZP,60,25/02/20,14:00:00,227.9100000,228.3700000,226.7300000,227.1100000
